SUBDIVISION,YEAR,Parameter,ANNUAL
ANDAMAN & NICOBAR ISLANDS,1901,Mean,2911
ANDAMAN & NICOBAR ISLANDS,1901,Standard deviation,395.9
ANDAMAN & NICOBAR ISLANDS,1901,Coefficient of variation,13.6
ANDAMAN & NICOBAR ISLANDS,1901,Actual,3373.2
ANDAMAN & NICOBAR ISLANDS,1901,Percentage departure,15.9
ANDAMAN & NICOBAR ISLANDS,1901,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1902,Actual,3520.7
ANDAMAN & NICOBAR ISLANDS,1902,Percentage departure,20.9
ANDAMAN & NICOBAR ISLANDS,1902,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1903,Actual,2957.4
ANDAMAN & NICOBAR ISLANDS,1903,Percentage departure,1.6
ANDAMAN & NICOBAR ISLANDS,1903,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1904,Actual,3079.6
ANDAMAN & NICOBAR ISLANDS,1904,Percentage departure,5.8
ANDAMAN & NICOBAR ISLANDS,1904,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1905,Actual,2566.7
ANDAMAN & NICOBAR ISLANDS,1905,Percentage departure,-11.8
ANDAMAN & NICOBAR ISLANDS,1905,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1906,Actual,2534.4
ANDAMAN & NICOBAR ISLANDS,1906,Percentage departure,-12.9
ANDAMAN & NICOBAR ISLANDS,1906,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1907,Actual,3347.9
ANDAMAN & NICOBAR ISLANDS,1907,Percentage departure,15
ANDAMAN & NICOBAR ISLANDS,1907,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1908,Actual,3576.4
ANDAMAN & NICOBAR ISLANDS,1908,Percentage departure,22.9
ANDAMAN & NICOBAR ISLANDS,1908,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1910,Actual,2899.4
ANDAMAN & NICOBAR ISLANDS,1910,Percentage departure,-0.4
ANDAMAN & NICOBAR ISLANDS,1910,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1911,Actual,2687.2
ANDAMAN & NICOBAR ISLANDS,1911,Percentage departure,-7.7
ANDAMAN & NICOBAR ISLANDS,1911,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1912,Actual,2960.5
ANDAMAN & NICOBAR ISLANDS,1912,Percentage departure,1.7
ANDAMAN & NICOBAR ISLANDS,1912,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1913,Actual,2365.8
ANDAMAN & NICOBAR ISLANDS,1913,Percentage departure,-18.7
ANDAMAN & NICOBAR ISLANDS,1913,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1914,Actual,2957.8
ANDAMAN & NICOBAR ISLANDS,1914,Percentage departure,1.6
ANDAMAN & NICOBAR ISLANDS,1914,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1915,Actual,2741.3
ANDAMAN & NICOBAR ISLANDS,1915,Percentage departure,-5.8
ANDAMAN & NICOBAR ISLANDS,1915,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1916,Actual,2937.5
ANDAMAN & NICOBAR ISLANDS,1916,Percentage departure,0.9
ANDAMAN & NICOBAR ISLANDS,1916,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1917,Actual,2612.4
ANDAMAN & NICOBAR ISLANDS,1917,Percentage departure,-10.3
ANDAMAN & NICOBAR ISLANDS,1917,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1918,Actual,3275
ANDAMAN & NICOBAR ISLANDS,1918,Percentage departure,12.5
ANDAMAN & NICOBAR ISLANDS,1918,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1919,Actual,2352.1
ANDAMAN & NICOBAR ISLANDS,1919,Percentage departure,-19.2
ANDAMAN & NICOBAR ISLANDS,1919,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1920,Actual,2943.2
ANDAMAN & NICOBAR ISLANDS,1920,Percentage departure,1.1
ANDAMAN & NICOBAR ISLANDS,1920,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1921,Actual,2606.4
ANDAMAN & NICOBAR ISLANDS,1921,Percentage departure,-10.5
ANDAMAN & NICOBAR ISLANDS,1921,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1922,Actual,3554.2
ANDAMAN & NICOBAR ISLANDS,1922,Percentage departure,22.1
ANDAMAN & NICOBAR ISLANDS,1922,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1923,Actual,NA
ANDAMAN & NICOBAR ISLANDS,1923,Percentage departure,NA
ANDAMAN & NICOBAR ISLANDS,1923,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1924,Actual,NA
ANDAMAN & NICOBAR ISLANDS,1924,Percentage departure,NA
ANDAMAN & NICOBAR ISLANDS,1924,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1925,Actual,2480.5
ANDAMAN & NICOBAR ISLANDS,1925,Percentage departure,-14.8
ANDAMAN & NICOBAR ISLANDS,1925,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1926,Actual,3282.2
ANDAMAN & NICOBAR ISLANDS,1926,Percentage departure,12.8
ANDAMAN & NICOBAR ISLANDS,1926,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1927,Actual,2442.9
ANDAMAN & NICOBAR ISLANDS,1927,Percentage departure,-16.1
ANDAMAN & NICOBAR ISLANDS,1927,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1928,Actual,2998.3
ANDAMAN & NICOBAR ISLANDS,1928,Percentage departure,3
ANDAMAN & NICOBAR ISLANDS,1928,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1929,Actual,2926.6
ANDAMAN & NICOBAR ISLANDS,1929,Percentage departure,0.5
ANDAMAN & NICOBAR ISLANDS,1929,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1930,Actual,3075.1
ANDAMAN & NICOBAR ISLANDS,1930,Percentage departure,5.6
ANDAMAN & NICOBAR ISLANDS,1930,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1931,Actual,2357.7
ANDAMAN & NICOBAR ISLANDS,1931,Percentage departure,-19
ANDAMAN & NICOBAR ISLANDS,1931,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1932,Actual,NA
ANDAMAN & NICOBAR ISLANDS,1932,Percentage departure,NA
ANDAMAN & NICOBAR ISLANDS,1932,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1933,Actual,2987.5
ANDAMAN & NICOBAR ISLANDS,1933,Percentage departure,2.6
ANDAMAN & NICOBAR ISLANDS,1933,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1934,Actual,3722.8
ANDAMAN & NICOBAR ISLANDS,1934,Percentage departure,27.9
ANDAMAN & NICOBAR ISLANDS,1934,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1935,Actual,3154
ANDAMAN & NICOBAR ISLANDS,1935,Percentage departure,8.3
ANDAMAN & NICOBAR ISLANDS,1935,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1936,Actual,NA
ANDAMAN & NICOBAR ISLANDS,1936,Percentage departure,NA
ANDAMAN & NICOBAR ISLANDS,1936,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1937,Actual,3591.1
ANDAMAN & NICOBAR ISLANDS,1937,Percentage departure,23.4
ANDAMAN & NICOBAR ISLANDS,1937,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1938,Actual,3264.4
ANDAMAN & NICOBAR ISLANDS,1938,Percentage departure,12.1
ANDAMAN & NICOBAR ISLANDS,1938,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1939,Actual,2782.5
ANDAMAN & NICOBAR ISLANDS,1939,Percentage departure,-4.4
ANDAMAN & NICOBAR ISLANDS,1939,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1940,Actual,3007.5
ANDAMAN & NICOBAR ISLANDS,1940,Percentage departure,3.3
ANDAMAN & NICOBAR ISLANDS,1940,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1941,Actual,2898.2
ANDAMAN & NICOBAR ISLANDS,1941,Percentage departure,-0.4
ANDAMAN & NICOBAR ISLANDS,1941,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1942,Actual,NA
ANDAMAN & NICOBAR ISLANDS,1942,Percentage departure,NA
ANDAMAN & NICOBAR ISLANDS,1942,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1946,Actual,2791.6
ANDAMAN & NICOBAR ISLANDS,1946,Percentage departure,-4.1
ANDAMAN & NICOBAR ISLANDS,1946,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1947,Actual,NA
ANDAMAN & NICOBAR ISLANDS,1947,Percentage departure,NA
ANDAMAN & NICOBAR ISLANDS,1947,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1949,Actual,3489.6
ANDAMAN & NICOBAR ISLANDS,1949,Percentage departure,19.9
ANDAMAN & NICOBAR ISLANDS,1949,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1950,Actual,2422.2
ANDAMAN & NICOBAR ISLANDS,1950,Percentage departure,-16.8
ANDAMAN & NICOBAR ISLANDS,1950,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1951,Actual,3275.1
ANDAMAN & NICOBAR ISLANDS,1951,Percentage departure,12.5
ANDAMAN & NICOBAR ISLANDS,1951,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1952,Actual,3079.9
ANDAMAN & NICOBAR ISLANDS,1952,Percentage departure,5.8
ANDAMAN & NICOBAR ISLANDS,1952,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1953,Actual,2721.9
ANDAMAN & NICOBAR ISLANDS,1953,Percentage departure,-6.5
